time	V(p001)
	0.000000e+000	2.500000e+001
	1.000000e-010	2.500000e+001
	1.012038e-010	2.500000e+001
	1.036113e-010	2.500000e+001
	1.084264e-010	2.500000e+001
	1.131071e-010	2.500000e+001
	1.184658e-010	2.500000e+001
	1.241715e-010	2.500000e+001
	1.323388e-010	2.500000e+001
	1.399453e-010	2.500000e+001
	1.512450e-010	2.500000e+001
	1.635002e-010	2.500000e+001
	1.776565e-010	2.500000e+001
	1.926357e-010	2.500000e+001
	2.141965e-010	2.500000e+001
	2.353072e-010	2.500000e+001
	2.665599e-010	2.500000e+001
	3.004574e-010	2.500000e+001
	3.423733e-010	2.500000e+001
	4.045782e-010	2.500000e+001
	4.926697e-010	2.500000e+001
	5.731773e-010	2.500000e+001
	6.628310e-010	2.500000e+001
	7.651945e-010	2.500000e+001
	9.318013e-010	2.500000e+001
	1.112058e-009	2.500000e+001
	1.345175e-009	2.500000e+001
	1.625846e-009	2.500000e+001
	1.981575e-009	2.500000e+001
	2.304329e-009	2.500000e+001
	2.661854e-009	2.500000e+001
	3.084960e-009	2.500000e+001
	3.634798e-009	2.500000e+001
	4.255267e-009	2.500000e+001
	4.940593e-009	2.500000e+001
	5.736308e-009	2.500000e+001
	6.823118e-009	2.500000e+001
	8.252150e-009	2.500000e+001
	1.000000e-008	2.500000e+001
	1.017478e-008	2.500000e+001
	1.052435e-008	2.500000e+001
	1.122349e-008	2.500000e+001
	1.201317e-008	2.500000e+001
	1.308159e-008	2.500000e+001
	1.436260e-008	2.500000e+001
	1.595277e-008	2.500000e+001
	1.793377e-008	2.500000e+001
	2.000000e-008	2.500000e+001
	2.022779e-008	2.500000e+001
	2.068338e-008	2.500000e+001
	2.159456e-008	2.500000e+001
	2.263006e-008	2.500000e+001
	2.386892e-008	2.500000e+001
	2.536692e-008	2.500000e+001
	2.682450e-008	2.500000e+001
	2.891145e-008	2.500000e+001
	3.308535e-008	2.500000e+001
	3.717521e-008	2.500000e+001
	4.387735e-008	2.500000e+001
	5.137074e-008	2.500000e+001
	6.179028e-008	2.500000e+001
	7.266015e-008	2.500000e+001
	8.415149e-008	2.500000e+001
	1.017961e-007	2.500000e+001
	1.178928e-007	2.500000e+001
	1.376593e-007	2.500000e+001
	1.661594e-007	2.500000e+001
	2.019761e-007	2.500000e+001
	2.404268e-007	2.500000e+001
	2.970581e-007	2.500000e+001
	3.680340e-007	2.500000e+001
	4.379682e-007	2.500000e+001
	5.221617e-007	2.500000e+001
	6.409833e-007	2.500000e+001
	8.456289e-007	2.500000e+001
	1.032210e-006	2.500000e+001
	1.254852e-006	2.500000e+001
	1.528783e-006	2.500000e+001
	1.963593e-006	2.500000e+001
	2.384630e-006	2.500000e+001
	3.031291e-006	2.500000e+001
	3.734397e-006	2.500000e+001
	4.763167e-006	2.500000e+001
	5.977641e-006	2.500000e+001
	7.574549e-006	2.500000e+001
	1.009098e-005	2.500000e+001
	1.253451e-005	2.500000e+001
	1.541860e-005	2.500000e+001
	1.908504e-005	2.500000e+001
	2.266157e-005	2.500000e+001
	2.636461e-005	2.500000e+001
	3.041759e-005	2.500000e+001
	4.015993e-005	2.500000e+001
	5.179686e-005	2.500000e+001
	7.507071e-005	2.500000e+001
	9.327795e-005	2.500000e+001
	1.114852e-004	2.500000e+001
	1.349397e-004	2.500000e+001
	1.622071e-004	2.500000e+001
